@relation 'dr-weka.filters.unsupervised.instance.Resample-S1-Z50.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute -0.3944-0.3945-0.3913-0.3886-0.3882... numeric
@attribute -0.41111-0.3913-0.38312-0.36614-0.33315... numeric
@attribute 0.4559+0.42110+0.4098-0.34115-0.32414... numeric
@attribute 0.71816-0.54817+0.2830-0.2521+0.11612... numeric
@attribute 0.7931-0.4917-0.2530+0.12618-0.10211... numeric
@attribute 0.8930+0.3011-0.23918-0.18316+0.06715... numeric
@attribute -0.6417-0.54116-0.3818-0.3531-0.0790... numeric
@attribute 0.81918-0.35216-0.2151+0.2040-0.16611... numeric
@attribute -0.4912+0.47915+0.4198-0.40111+0.26914... numeric
@attribute Class {0,1}

@data
2.581926,0.678383,-0.899611,1.07922,1.33701,-0.077475,0.531243,1.253136,-0.475156,1
1.411857,0.908347,-1.205703,1.744797,0.894571,-0.429475,-1.099126,0.705921,-0.362572,1
2.730955,0.60702,-1.194172,1.507683,-3.577453,-1.018252,0.382158,-0.796566,0.903264,1
-1.445156,1.229457,-0.330051,0.065543,0.833124,0.307533,1.140851,0.17468,-0.208049,0
-2.076613,1.387654,-0.510786,-0.737506,-0.003501,0.249906,-0.136778,0.010597,-0.27066,1
2.704716,0.442988,-0.304449,1.31163,0.661428,0.244181,0.441774,-1.223026,0.382889,1
2.727248,1.133922,-1.623178,0.33959,0.767179,0.539493,1.067678,-0.586893,-0.25247,1
2.677917,1.115074,-1.410628,1.14311,0.772882,0.331523,0.526734,-0.974087,-0.014943,0
-2.976502,1.401719,-0.064854,-0.010017,0.757155,0.197097,0.874817,0.376337,-0.183091,1
2.48028,0.999815,-1.192551,-0.123226,-0.241847,0.382696,-0.641259,-1.1856,0.073129,1
2.538839,0.833134,-1.04035,0.333672,0.945236,0.566125,1.513515,-0.400538,-0.026818,0
2.469492,-0.841474,1.191739,-0.453227,0.30034,0.007037,-0.037411,1.100662,0.234169,0
-2.266588,1.226839,-0.068483,-0.728083,0.381452,0.338027,0.709315,0.304146,-0.156253,1
-0.110703,-0.072228,0.691151,-1.622304,-0.005133,0.600593,1.13741,0.057121,-0.01134,0
-1.918567,0.532242,0.378193,-0.027684,0.604567,0.219183,1.033906,0.052233,-0.310469,1
3.016507,-1.150199,1.471488,-0.901712,0.633094,0.234684,0.996366,1.625501,0.468686,1
-0.538297,-0.574459,1.914816,-0.646636,-0.027691,0.300788,0.587936,-0.441065,0.58065,1
-4.55115,1.367942,0.468894,-0.115305,0.411437,0.006783,0.116626,0.412236,-0.000676,0
0.51496,1.530754,-1.455209,-0.415384,-0.328903,0.288636,-0.908376,-0.804236,-0.277296,0
-3.12376,1.425017,-0.090281,-0.638054,0.796496,0.358578,1.374859,0.740229,-0.301459,0
2.979822,0.164026,-0.129148,0.686904,0.850648,-0.073959,-0.038683,0.974875,0.052114,1
-0.908861,0.186355,0.668442,0.37937,0.353702,0.123409,0.419749,-0.533712,0.00619,0
1.687538,1.079409,-1.355925,-0.026461,1.018771,0.61396,1.813964,-0.056047,-0.449705,1
0.332104,1.334514,-0.886881,1.034329,0.063119,0.000957,-1.062827,-1.174032,0.130613,0
-1.891861,0.545875,-0.433281,-0.19474,0.218553,0.222144,-0.106979,-0.224233,0.243047,0
-2.06236,-4.841061,2.260403,-0.491093,-0.499458,-0.487281,-1.236939,0.722656,-0.296787,1
-4.649478,0.923544,0.756245,-1.639054,-1.296566,-0.058621,-2.095033,-0.319469,-0.10455,1
2.464194,0.94705,-1.231559,-0.299576,0.162907,0.523008,0.303905,-0.723017,-0.052748,0
-0.877787,1.216481,-0.351853,0.749787,0.109231,-0.010359,-0.809993,-0.823675,0.173826,1
-0.819403,1.175693,-0.971587,0.279434,-2.917263,-0.794947,2.12279,0.948326,0.515366,1
-0.327973,0.364255,-1.54277,0.233391,0.165297,0.255485,-0.716118,-0.716534,0.554211,1
-1.157111,1.325885,-0.289123,1.78599,0.849457,-0.103836,-0.054064,-0.686389,0.201524,0
-1.009472,-0.85309,-0.788113,1.76237,0.583198,-0.100034,-0.395373,-1.134902,0.094528,1
-0.924173,-1.324867,3.295991,0.653185,-0.249226,-0.148725,-0.426563,-1.35647,1.005613,0
1.105898,1.444612,-1.387108,0.973816,0.263989,0.130007,-0.57551,-1.098511,-0.119008,0
-0.772603,1.255256,-0.698175,-1.109651,-0.417312,0.337909,-0.616888,-0.337067,-0.147609,1
3.241473,0.175032,-0.873573,-1.795131,0.868001,0.575881,1.776555,2.185774,-0.888054,0
2.243379,-0.248354,-0.741239,0.838962,0.433175,0.282929,0.527055,-1.220252,-0.396195,0
-5.213049,-0.98944,-1.130374,0.149222,0.065152,-0.066811,-1.195204,-0.190835,0.236323,1
-0.02132,1.537137,-1.200125,0.196511,0.151851,0.215741,-0.37802,-0.635635,-0.207509,0
0.09165,-4.123723,1.748982,1.467917,-0.113535,-0.798095,-0.715963,-0.168276,-2.170336,1
0.37363,-7.293165,-0.263761,0.177249,0.516336,-0.065527,0.376205,0.578965,-0.631193,1
2.261167,-0.237082,-0.951232,0.386508,0.654157,0.484224,0.913186,-0.725377,0.226152,1
-1.906276,-1.508885,2.527636,-0.491177,0.257115,-0.366997,-0.024765,1.658606,-0.353281,1
2.171077,-1.399806,0.867763,0.610718,0.467121,-0.253374,-0.155426,0.657466,-0.461695,0
-2.304661,0.524661,1.091484,-0.155097,0.942471,0.32071,1.705108,0.444872,0.250971,1
-3.801853,0.773204,0.812897,0.247792,-0.770689,-0.348706,-2.21845,-0.917333,0.150383,0
-2.671374,0.747139,0.899743,0.44331,0.327956,-0.020275,-0.07714,-0.275251,0.363956,1
2.422116,0.81146,-0.943375,0.301002,0.592684,0.477926,0.856177,-0.710427,-0.016448,0
