@relation 'dr-weka.filters.unsupervised.attribute.Remove-V-R2-4,6,8,11-12,18,20-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.Resample-S1-Z50.0_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute -0.5065-0.5043-0.52-0.4817+0.06617... numeric
@attribute -0.69210-0.68311+0.18117+0.1157-0.071... numeric
@attribute -0.7931+0.57917+0.16211+0.06210+0.0482... numeric
@attribute '0.79 17+0.6  1+0.09510+0.05 2+0.0463...' numeric
@attribute Class {0,1}

@data
2.036155,0.491383,-1.290293,-1.233156,1
1.141326,0.680252,-0.683014,-0.414297,1
2.494849,0.6314,3.469055,-1.613145,1
-1.062884,0.594691,-0.967726,-0.779614,0
-1.5488,0.956918,0.05465,0.585272,1
2.345354,-0.06404,-0.954902,-0.769444,1
2.540171,0.658576,-0.887659,-0.682194,1
2.461274,0.591407,-0.930814,-0.742293,0
-2.392755,0.801113,-0.854981,-0.621876,1
2.308053,0.938702,0.198741,0.802044,1
2.240312,0.483569,-1.156806,-1.050461,0
1.567806,-0.426881,-0.324604,0.023919,0
-1.727972,0.878951,-0.454064,-0.079931,1
-0.048998,-0.092457,-0.168816,0.219802,0
-1.451776,-0.095884,-0.761465,-0.614427,1
1.910026,-0.584857,-0.719349,-0.509139,1
-0.66057,-0.620092,-0.298337,0.045463,1
-3.616354,0.736083,-0.437537,-0.087847,0
0.776307,1.150366,0.431383,1.119333,0
-2.459401,0.898116,-0.88709,-0.656116,0
2.230707,0.473069,-0.85454,-0.631376,1
-0.754169,-0.302651,-0.557709,-0.346788,0
1.615405,0.515338,-1.160886,-1.070684,1
0.531361,0.82867,-0.097188,0.38776,0
-1.27614,0.520533,-0.172511,0.246544,0
-2.263048,-3.409084,0.809835,1.094427,1
-3.7059,0.629148,1.495836,2.48013,1
2.229391,0.763951,-0.234003,0.206922,0
-0.559776,0.725602,-0.161547,0.295589,1
-0.529652,1.174259,2.843145,-2.436654,1
0.130804,0.703846,0.007221,0.500614,1
-0.893961,0.564495,-1.016418,-0.854186,0
-0.591451,-0.684198,-0.553558,-0.440252,1
-1.063912,-1.933522,-0.218237,0.150141,0
1.206571,0.836417,-0.290241,0.12746,0
-0.424468,1.050342,0.497062,1.202085,1
2.48619,0.466645,-0.747696,-0.50652,0
2.094347,-0.543479,-0.623889,-0.430193,0
-3.863276,0.226621,0.31034,0.790763,1
0.28459,1.010792,-0.136454,0.350733,0
-0.375536,-3.426184,0.028368,-0.014328,1
0.254585,-3.895548,-0.08769,-0.258615,1
2.049668,-0.055142,-0.779226,-0.607139,1
