@relation 'dr-weka.filters.unsupervised.attribute.Remove-V-R2-4,6,8,11-12,18,20'

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 5 numeric
@attribute 7 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 17 numeric
@attribute Class {0,1}

@data
1,22,22,19,14,5.27092,0.771761,0.100025,0
1,24,24,18,13,3.325423,0.234185,0.144414,0
1,62,60,54,33,12.687485,4.852282,0.128548,1
1,55,53,50,31,9.118901,3.079428,0.11479,0
1,44,44,41,27,0.410381,0,0.123572,1
1,44,43,41,29,2.305771,0.323724,0.126741,1
0,29,29,27,16,1.633493,0,0.139575,1
1,6,6,6,1,1.22366,0.150382,0.071071,0
1,22,21,15,10,6.151117,0.496372,0.116793,1
1,79,75,71,47,0.874633,0.09978,0.109134,1
1,45,45,43,32,17.293722,1.974419,0.112378,0
0,25,25,23,18,0.436232,0.116119,0.139657,0
1,70,69,63,50,0.625511,0.287959,0.089587,1
1,48,43,32,18,2.403903,0.189235,0.138287,1
1,94,93,89,77,0.401183,0.066095,0.124505,0
1,20,18,15,9,8.785379,0.673542,0.089936,0
1,105,95,66,32,37.409891,19.937253,0.134247,1
1,25,25,23,19,1.067243,0.484829,0.108428,0
1,64,64,58,40,0.907342,0.080105,0.098591,0
0,46,41,32,15,9.665742,2.276676,0.104949,1
1,37,37,34,23,8.114027,1.204871,0.110793,0
1,19,17,12,7,13.018953,1.045157,0.094014,1
0,37,34,30,24,1.900918,1.524727,0.09827,1
1,10,10,9,6,9.793215,0.916265,0.108156,0
1,5,5,5,3,2.718365,0.169898,0.109748,1
1,40,38,25,12,13.093588,5.437382,0.105129,1
1,55,53,47,26,21.117569,3.956318,0.117329,0
1,99,98,53,27,33.693698,10.98918,0.117421,1
1,45,45,43,24,5.206171,1.491918,0.11811,0
1,103,89,71,38,0.015592,0.010914,0.134091,1
1,12,12,11,8,0.310613,0.008228,0.096681,0
1,42,38,37,32,0.588359,0,0.099592,1
1,107,98,63,28,25.534925,7.708971,0.138403,1
1,9,9,9,5,18.431154,3.606006,0.108467,0
1,64,64,53,31,3.074836,0.932093,0.099484,1
0,30,30,29,21,0.003019,0,0.125272,0
1,2,2,2,1,1.470575,0.198559,0.114792,1
1,72,68,62,38,3.395,0.321211,0.115267,1
1,43,42,39,27,3.939161,0.584198,0.121392,0
0,16,16,13,8,4.828992,1.672169,0.123721,1
1,76,74,72,42,2.067625,0.273702,0.092277,1
1,5,5,5,2,13.057079,0.734306,0.109015,0
1,44,43,41,27,21.430906,8.54797,0.114604,1
1,13,12,9,6,0,0,0.135714,0
1,4,4,4,4,5.151197,0.346308,0.114747,0
1,37,35,30,22,0.981876,0.025879,0.123305,1
1,64,62,58,43,7.617959,0.695383,0.087509,1
1,7,7,7,4,2.888475,0.078299,0.148959,0
1,42,42,36,26,2.791295,0.420079,0.166185,1
1,15,15,12,9,11.161267,1.598323,0.120501,0
1,22,22,19,13,0.161388,0,0.159822,0
1,33,33,32,31,0.003115,0,0.099665,1
1,19,19,16,11,4.325823,0.413333,0.104555,0
1,12,12,12,7,4.447385,0.420792,0.115299,0
1,49,48,40,26,2.556415,0.192468,0.113308,1
1,107,97,73,39,11.290695,8.119854,0.097517,1
1,22,19,15,9,4.403699,0.713671,0.098155,1
1,15,15,14,9,9.176269,1.020974,0.085562,0
1,56,55,41,28,1.544124,0.631409,0.102432,1
0,7,7,7,4,17.212219,1.201699,0.142626,1
1,31,31,28,15,3.893095,0.575022,0.110221,1
1,24,24,21,15,10.878852,1.407478,0.105825,0
1,18,18,17,9,10.053525,1.824551,0.093488,1
1,14,14,14,9,16.775043,1.694859,0.111073,0
1,101,87,60,24,6.647874,0.372636,0.064631,1
1,19,19,15,11,0.054801,0,0.118736,1
1,61,60,57,42,3.658368,0.327146,0.102233,0
1,56,55,51,31,8.664596,0.819687,0.120406,1
1,51,50,42,22,12.291867,1.497559,0.10252,1
1,73,71,70,65,6.624892,0.811588,0.079929,0
1,66,65,64,53,0.397164,0.129273,0.096565,1
1,17,16,16,10,3.203629,0.155942,0.081869,0
1,56,55,51,36,2.563113,0.15848,0.057906,1
1,66,62,61,44,2.783822,1.13136,0.086082,0
1,70,64,54,34,4.487734,1.196221,0.091431,1
1,43,42,40,34,0.903438,0.274757,0.099347,1
1,39,39,35,27,9.29063,1.64061,0.09551,0
1,25,24,22,15,5.945784,0.523714,0.149189,0
1,19,18,14,8,12.426334,1.600509,0.086458,0
1,34,34,22,9,7.515836,0.929973,0.095308,1
1,95,83,73,42,10.183585,3.318716,0.092831,1
1,17,17,17,10,1.165543,0.062406,0.097929,0
1,54,54,53,41,0.597904,0.018588,0.116173,1
1,60,56,37,19,32.199603,11.184719,0.077165,1
1,34,33,21,9,1.511429,0.446046,0.086133,1
1,52,51,50,34,4.423472,0.513135,0.100463,0
1,22,20,13,7,15.664896,1.653017,0.086838,1
1,35,35,30,21,0.937143,0.083337,0.100633,1
1,11,11,9,5,2.138412,1.027176,0.108663,1
1,15,14,14,8,0.202241,0,0.097993,1
1,35,34,31,14,12.322802,4.69705,0.089784,0
1,79,74,64,37,1.132117,0.051806,0.111231,1
1,63,62,58,42,10.561198,2.730872,0.097422,1
1,11,11,11,9,17.21856,0.512342,0.082669,0
1,45,40,30,12,20.514816,7.394719,0.112668,1
1,29,29,25,18,23.987895,4.047519,0.115531,0
1,58,57,56,43,5.661383,0.31165,0.076738,1
1,24,24,22,15,20.952812,1.666182,0.084035,0
1,49,48,47,39,3.718794,0.395917,0.102122,0
1,11,10,6,5,7.475142,0.373965,0.126044,1
1,42,41,37,22,1.112416,0,0.139838,1
1,41,41,37,28,0.173295,0,0.13616,1
1,19,19,14,6,9.142322,0.710916,0.102545,1
1,13,13,12,8,6.383264,0.586822,0.106695,0
1,13,12,9,4,15.784663,1.349072,0.135424,1
1,42,42,40,32,0.736568,0.004652,0.105445,0
1,47,39,23,10,19.62536,16.094403,0.098941,1
0,1,1,1,1,1.360702,0.044063,0.139532,0
1,19,19,15,7,1.371151,0.186842,0.111911,1
1,47,47,42,27,0.309542,0.021243,0.121389,1
1,36,36,33,19,12.510102,1.281612,0.099766,0
1,26,25,25,17,0.02454,0,0.092023,0
1,53,52,52,39,15.95505,1.287803,0.118347,0
1,49,39,23,11,25.135818,10.571634,0.090809,1
1,60,58,54,37,3.486667,0.126563,0.086434,1
1,5,5,4,4,6.94306,0.076804,0.072708,0
1,41,41,40,35,0.02746,0,0.091535,0
1,43,43,41,22,4.384047,0.436208,0.117682,0
1,9,9,7,4,7.40022,0.954294,0.093025,1
1,76,76,69,41,10.18401,2.21651,0.12567,0
1,12,11,10,8,6.456335,1.240172,0.114663,1
1,10,10,8,4,4.890571,0.287858,0.079236,1
0,52,48,41,29,1.502631,1.039086,0.105775,1
1,37,36,36,25,4.589004,1.119578,0.113855,0
1,28,24,20,12,0.738518,0.023397,0.090535,1
1,16,15,14,9,0.004632,0,0.125055,0
0,51,50,49,32,0.64097,0.112208,0.112208,0
1,89,84,72,58,7.739052,0.494274,0.08543,1
1,69,65,56,39,4.443728,0.720148,0.102878,1
1,114,110,76,27,13.990668,0.891073,0.131706,1
1,47,46,44,37,0.400321,0,0.111967,1
1,16,15,13,9,2.999985,0.506774,0.101157,0
1,61,60,57,38,8.845998,0.588095,0.075239,1
1,63,63,59,48,1.164862,0.10156,0.090788,1
1,28,27,24,19,0,0,0.109842,1
1,13,13,12,11,3.709344,0.322866,0.096963,1
1,37,36,34,23,0.471824,0.056497,0.116047,0
1,62,61,61,55,1.279254,0.045961,0.09039,1
1,15,15,14,6,4.563607,0.312338,0.095437,0
1,15,15,15,10,2.060281,0.08491,0.121997,0
1,59,58,56,44,1.097511,0.099913,0.136805,1
0,8,8,6,5,0.060822,0.001014,0.107452,1
1,10,10,10,7,26.938458,5.086118,0.11332,0
1,40,39,34,21,2.267345,0.012256,0.107239,0
