@relation dr-weka.filters.unsupervised.attribute.Standardize

@attribute quality numeric
@attribute pre-screening numeric
@attribute MA_detection_alpha0.5 numeric
@attribute MA_detection_alpha0.6 numeric
@attribute MA_detection_alpha0.7 numeric
@attribute MA_detection_alpha0.8 numeric
@attribute MA_detection_alpha0.9 numeric
@attribute MA_detection_alpha1.0 numeric
@attribute exudates_0 numeric
@attribute exudates_1 numeric
@attribute exudates_2 numeric
@attribute exudates_3 numeric
@attribute exudates_4 numeric
@attribute exudates_5 numeric
@attribute exudates_6 numeric
@attribute exudates_7 numeric
@attribute distance_macula_optic_disc numeric
@attribute diameter_optic_disc numeric
@attribute AM_FM_based_classification numeric
@attribute Class {0,1}

@data
0.059028,0.298083,-0.641208,-0.618513,-0.576212,-0.629755,-0.550877,-0.473539,-0.242812,-0.245896,-0.296837,-0.271391,-0.218229,-0.194325,-0.205035,-0.186088,-1.2942,-0.468452,1.404438,0
0.059028,0.298083,-0.563146,-0.535545,-0.576212,-0.677115,-0.653392,-0.539757,-0.109202,0.032958,-0.465022,-0.408415,-0.224159,-0.197126,-0.205086,-0.1862,-0.082132,2.005183,-0.71141,0
0.059028,0.298083,0.920017,0.957883,1.046211,1.027853,0.9356,0.784609,-0.141322,0.227098,0.344313,0.768703,0.335392,0.152264,-0.109996,-0.164737,0.274163,1.121029,-0.71141,1
0.059028,0.298083,0.646803,0.667494,0.783115,0.838412,0.730568,0.652173,-0.404024,-0.214883,0.035815,0.316816,0.112524,0.056894,-0.19568,-0.199454,-1.423195,0.354347,-0.71141,0
0.059028,0.298083,0.217466,0.294137,0.388472,0.41217,0.525537,0.3873,-0.787727,-0.672014,-0.717023,-0.468107,-0.22573,-0.200818,-0.214874,-0.208009,-1.685142,0.843735,-0.71141,1
0.059028,0.298083,0.217466,0.252653,0.256924,0.41217,0.423022,0.519736,-0.611099,-0.747702,-0.55317,-0.385592,-0.22573,-0.200818,-0.214874,-0.208009,-0.726465,1.020332,-0.71141,1
0.059028,-3.351852,-0.367993,-0.328125,-0.269267,-0.250873,-0.192072,-0.341102,-0.831804,-0.646873,-0.611287,-0.468107,-0.22573,-0.200818,-0.214874,-0.208009,0.660507,1.735523,-0.71141,1
0.059028,0.298083,-1.265697,-1.282259,-1.2778,-1.245438,-1.371001,-1.334377,-0.742358,-0.629099,-0.646716,-0.429776,-0.22573,-0.200818,-0.214874,-0.208009,1.892892,-2.081951,1.404438,0
0.059028,0.298083,-0.641208,-0.659998,-0.751609,-0.819196,-0.807166,-0.738412,0.044375,0.021179,-0.220745,-0.341586,-0.22573,-0.200818,-0.214874,-0.208009,-0.824771,0.465966,-0.71141,1
0.059028,0.298083,1.583538,1.580145,1.6601,1.832976,1.806982,1.711666,-0.717358,-0.603333,-0.676889,-0.442674,-0.216316,-0.200818,-0.214874,-0.208009,1.345438,0.039159,-0.71141,1
0.059028,0.298083,0.256497,0.335621,0.432321,0.50689,0.576795,0.718391,0.346441,1.291017,0.742515,0.035157,-0.22573,-0.200818,-0.214874,-0.208009,0.812528,0.219935,-0.71141,0
0.059028,-3.351852,-0.524116,-0.494061,-0.444664,-0.440314,-0.345845,-0.208665,-0.711574,-0.423004,-0.714788,-0.438509,-0.22573,-0.200818,-0.214874,-0.208009,1.014771,1.740093,1.404438,0
0.059028,0.298083,1.232262,1.33124,1.309306,1.454095,1.755724,1.910321,-0.915385,-0.924869,-0.698425,-0.394709,-0.18387,-0.196278,-0.214874,-0.208009,0.398632,-1.050123,-0.71141,1
0.059028,0.298083,0.373588,0.252653,0.169225,-0.014072,-0.089556,-0.208665,-0.702465,-0.75687,-0.544686,-0.419873,-0.221126,-0.200818,-0.214874,-0.208009,-0.771983,1.663748,1.404438,1
